Altium Designer Pick and Place Locations
D:\Radio\Jobe\Ethernet_Power_Load_Controller\PCB\PWR_Switch_PCB\Project Outputs for PWR_Switch_PCB\Pick Place\Pick Place for PWR_Switch_PCB.csv

========================================================================================================================
File Design Information:

Date:       16.08.23
Time:       18:37
Revision:   4a9dfc3522b0fa76807d2a15523fcf1f9a153af2
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"D6","SMA-2  ES1J","TopLayer","60.7000mm","52.2450mm","180","Diode Standard 600V 1A Surface Mount SMA (DO-214AC)"
"D5","MBRS540T3G","TopLayer","62.7050mm","22.2750mm","180","Diode Schottky 40V 5A Surface Mount SMC"
"D4","SMA-2  ES1J","TopLayer","73.2000mm","52.2450mm","180","Diode Standard 600V 1A Surface Mount SMA (DO-214AC)"
"D3","MBRS540T3G","TopLayer","74.1400mm","22.2750mm","180","Diode Schottky 40V 5A Surface Mount SMC"
"D2","SMA-2  ES1J","TopLayer","85.5500mm","52.2450mm","180","Diode Standard 600V 1A Surface Mount SMA (DO-214AC)"
"D1","MBRS540T3G","TopLayer","85.5750mm","22.2750mm","180","Diode Schottky 40V 5A Surface Mount SMC"
"C21","470µF 35V","TopLayer","46.4000mm","82.5500mm","360","EEEFK1V471SV 470µF 35V Aluminum Electrolytic Capacitors Radial, Can - SMD 80mOhm @ 100kHz 2000 Hrs @ 105°C"
"C19","470µF 35V","TopLayer","8.4250mm","33.9500mm","180","EEEFK1V471SV 470µF 35V Aluminum Electrolytic Capacitors Radial, Can - SMD 80mOhm @ 100kHz 2000 Hrs @ 105°C"
"C17","22uf 35V","TopLayer","89.5000mm","81.1300mm","90","Tantal TypeD HGD226K035T"
"C15","470µF 35V","TopLayer","46.4000mm","71.0000mm","360","EEEFK1V471SV 470µF 35V Aluminum Electrolytic Capacitors Radial, Can - SMD 80mOhm @ 100kHz 2000 Hrs @ 105°C"
"C12","470µF 35V","TopLayer","8.4250mm","50.0750mm","180","EEEFK1V471SV 470µF 35V Aluminum Electrolytic Capacitors Radial, Can - SMD 80mOhm @ 100kHz 2000 Hrs @ 105°C"
"C11","18112 4.7 uF","TopLayer","35.5500mm","96.1750mm","90","Ceramic Capacitor"
"C10","22uf 35V","TopLayer","63.5250mm","80.6300mm","90","Tantal TypeD HGD226K035T"
"C8","22uf 35V","TopLayer","76.4500mm","81.2300mm","90","Tantal TypeD HGD226K035T"
"U3","IR2110S","TopLayer","86.2000mm","68.2490mm","90","Half-Bridge Gate Driver IC Non-Inverting 16-SOIC"
"Q6","IRFB7730","TopLayer","23.2250mm","38.6500mm","180","N-Channel Power Transistor - TO-220"
"Q5","IRFB7730","TopLayer","35.6450mm","38.6500mm","180","N-Channel Power Transistor - TO-220"
"Q4","IRFB7730","TopLayer","48.0650mm","38.6500mm","180","N-Channel Power Transistor - TO-220"
"Q3","IRFB7730","TopLayer","60.4850mm","38.6500mm","180","N-Channel Power Transistor - TO-220"
"Q2","IRFB7730","TopLayer","72.9050mm","38.6500mm","180","N-Channel Power Transistor - TO-220"
"Q1","IRFB7730","TopLayer","85.3250mm","38.6500mm","180","N-Channel Power Transistor - TO-220"
"L2","SRR1208-680Y","TopLayer","32.5500mm","80.9250mm","90","68µH Shielded Wirewound Inductor 1.8A 18mOhm Max Nonstandard"
"L1","SRR1208-680Y","TopLayer","32.5500mm","64.5250mm","90","68µH Shielded Wirewound Inductor 1.8A 18mOhm Max Nonstandard"
"DD2","LM2596S-ADJ","TopLayer","11.0000mm","79.1750mm","180","SIMPLE SWITCHER® Power Converter 150 KHz 3A Step-Down Voltage Regulator, 5-pin TO-263"
"DD1","LM2596S-ADJ","TopLayer","11.1500mm","64.4500mm","180","SIMPLE SWITCHER® Power Converter 150 KHz 3A Step-Down Voltage Regulator, 5-pin TO-263"
"D12","MBRS540T3G","TopLayer","22.0500mm","79.4000mm","90","Diode Schottky 40V 5A Surface Mount SMC"
"D9","MBRS540T3G","TopLayer","22.0500mm","64.7000mm","90","Diode Schottky 40V 5A Surface Mount SMC"
"C13","NC","TopLayer","8.3750mm","25.5750mm","180","Polarized Capacitor (Rad) 220uF 50v"
"X4","PLD-10R","TopLayer","8.7300mm","98.6200mm","90","Header, 5-Pin, Dual row"
"X3","PBD-10R","TopLayer","85.3700mm","98.6200mm","270","Header, 5-Pin, Dual row"
"U4","IR2110S","TopLayer","73.0500mm","68.2490mm","90","Half-Bridge Gate Driver IC Non-Inverting 16-SOIC"
"VR1","LM1117MPX-3.3","TopLayer","28.4000mm","96.4000mm","360","800-mA 3.3-V linear voltage regulator"
"C18","NC","TopLayer","8.3750mm","41.5000mm","180","Polarized Capacitor (Rad) 220uF 50v"
"C14","NC","TopLayer","46.4500mm","67.1750mm","360","Polarized Capacitor (Rad) 220uF 50v"
"C20","NC","TopLayer","46.5250mm","78.8250mm","360","Polarized Capacitor (Rad) 220uF 50v"
